Азербайджанский ударный музыкальный инструмент типа бубна (дэф, дяф, даф).|гавал
Травянистое растение с перистыми листьями и голубыми цветками, используемое в медицине и технике.|синюха
Травянистое растение семейства бобовых, используемое для удобрения или как декоративное.|люпин
Травянистое растение семейства бобовых.|люцерна
Травянистое растение семейства гречишных с толстым корневищем и крупными листьями, употребляющееся в медицине и кулинарии.|ревень
Травянистое растение семейства крестоцветных с желтыми цветками.|горчица
Травянистое растение семейства крестоцветных, из семян которого добывается техническое и пищевое масло.|сурепица
Травянистое растение семейства мальвовых, из стебля которого выделывается прочное волокно.|канатник
Травянистое растение семейства норичниковых с мелкими, обычно голубыми цветками.|вероника
Травянистое растение семейства пасленовых, плоды которого используются в медицине, а некоторые - употребляются в пищу.|физалис
Травянистое растение семейства сложноцветных, в млечном соке которого содержится каучук.|хондрилла
Травянистое растение семейства сложноцветных, декоративный цветок.|астра
Травянистое растение семейства сложноцветных, используемое для получения жёлтой и зеленой краски.|серпий
Травянистое растение семейства сложноцветных, растущее в сырых, топких местах и применяющееся в медицине.|череда
Травянистое растение семейства сложноцветных.|козлобородник
Травянистое растение семейства сложноцветных.|цикорий
Травянистое растение, в корнях - крахмал.|аронник
Травянистое растение, комнатное.|амариллис
Травянистое растение, кормовая культура.|люцерна
Травянистое растение, масличное.|вербена
Травянистое растение, медонос, сорняк.|бодяк
Травянистое растение, медонос.|таволга
Травянистое растение, медонос; женское имя.|вероника
Травянистое растение, овощное.|бамия
Травянистое растение, отдельные виды которого разводятся как овощи, применяются в медицине.|латук
Травянистое растение, семейства зонтичных.|борщевик
Травянистое растение, сорняк, медонос.|сныть
Травянистое растение, употребляемое в пищу.|спаржа
Травянистое растение, эфирномасличная культура.|лаванда
Травянистое скороспелое кормовое растение семейства бобовых.|люпин
Травянистое сорное растение семейства сложноцветных с небольшими цветками, собранными в метельчатое соцветие, содержащее ядовитый млечный сок.|молокан
Травянистое споровое лесное растение.|плаун
Травянистое степное растение семейства злаков с узкими листьями и с цветками, собранными в пушистые метелочки.|ковыль
Травянистое эфиромасличное растение.|шалфей
Травянисттое споровое лесное растение.|плаун
Травяное растение.|ячмень
Трагедия-балет Мольера.|Психея
Трактат Аристотеля.|Органон
Трактат древнегреческого математика Евклида.|Начала
Трактат об авторах, пишущих под псевдонимами (1690).|Байе
Тренер сборной СССР по хоккею с шайбой.|Тихонов
Тренер, много лет возглавлявший нашу сборную по хоккею.|Тихонов
Тропическая морская птица, родственная чайкам.|ножеклюв
Тропическая пальма с перистыми листьями.|арека
Тропическая пальма, семена некоторых видов которой используются в фармакологии.|арека
Тропическая птица с пестрым оперением.|попугай
Тропическая птица, ходящая по плавающим листьям.|якан
Тропическое вечнозеленое дерево семейства молочайных, основной источник каучука.|гевея
Тропическое вечнозеленое дерево, основной источник натурального каучука.|гевея
Тропическое дерево в Азии с ценной древесиной.|тик
Тропическое дерево из класса саговых, похожее на пальму.|саговник
Тропическое дерево или кустарник, «сметанное яблоко» тропиков, аннона.|анона
Тропическое дерево семейства тутовых.|анчар
Тропическое дерево семейства тутовых; стихотворение А. Пушкина.|анчар
Тропическое дерево, используемое для получения каучука.|гевея
Тропическое дерево, культивируемое в Восточной Азии и на Кавказе, из семян которого добывается техническое масло.|тунг
Тропическое дерево.|баобаб
Тропическое дерево.|пальма
Тропическое клубнеплодное растение.|батат
Тропическое плодовое дерево.|авокадо
Тропическое плодовое дерево.|олива
Тропическое плодовое растение.|банан
Тропическое пресмыкающееся.|аллигатор
Тропическое растение с жгучими на вкус листьями, жвачка.|бетель
Тропическое растение семейства кутровых с желтыми цветками, семена которого содержат ядовитый гликозид.|строфант
Тропическое растение со съедобными клубнями.|ямс
Тропическое растение, дает смолу, похожее на гуттаперчу.|балата
Тропическое растение, из волокон которого изготавливают грубые ткани.|джут
Тропическое растение, из которого получают сизаль.|агава
Тропическое растение.|имбирь
Тропическое растение.|кактус
Тропическое травянистое растение семейства осоковых.|папирус
Тропическое южноазиатское дерево семейства тутовых.|анчар
Тропическое южноазиатское ядовитое дерево.|анчар
Тунисская золотая монета в 10 пиастров, чеканилась в конце XIX века.|бумья
Турецкая золотая монета, введенная Мехмедом II в 1481 году.|алтун
Турецкая серебряная монета XIX века для Алжира.|Будью
Туристический городок в Аджарии на берегу Черного моря.|Чаква
Турции, илей, административный центр город Антакья.|Хатай
Турция, административный центр иля Сакарья.|Адапазары
Турция, илей.|Анкара
У армян :мифологический персонаж.|Саркис
У армян: мифологический персонаж.|Карапет
Ударный музыкальный инструмент на Востоке (дэф).|дэп
Узбекский эпос.|Ядгар
Узбекский, казахский, бурятский эпос.|Алпамыш
Украинский писатель Мойся, боготворивший Пушкина, избрал себе такой псевдоним.|Ле
Украинский спортивный клуб.|Днепр
Умбра, род рыб отряда щукообразных.|евдошка
Уменьшительное мужское имя.|Вася
Уменьшительное мужское имя.|Коля
Умеренный темп в музыке.|адажио
Умеренный темп в музыке.|аданте
Умеренный темп в музыке.|анданте
Умеренный темп в музыке.|андантино
Умеренный темп в музыке.|каменка
Умеренный темп в музыке.|модерато
Унаби, лекарственный кустарник или дерево.|челон
Урановое месторождение в Нигере.|Арли
Устаревшая единица светимости (светности).|радфот
Устаревшая мера длины.|аршин
Ушастый тюлень.|котик
Ущелье в долине реки Терек.|Дарьял
Фамилия актрисы, жены А.П. Чехова.|Книппер
Фамилия братьев-академиков - Сергей - оптик, Николай - биолог.|Вавилов
Фамилия деда В.И. Ленина.|Бланк
Физическая величина.|вес
Физическая величина.|импульс
Физическая величина.|мощность
Физическая величина.|параметр
Физическая величина.|скорость
Физический прибор.|регистратор
Физический термин.|ион
Филин.|пугач
Философ Древней Греции.|Аристотель
Фильм 1996 года, за который Джеффри Раш получил «Оскар».|Блеск
Фильм А. Сокурова о Еве Браун и Гитлере.|Молох
Фильм американского режиссёра Джона Кассаветеса; женское имя.|Глория
Фильм Б. Бертолуччи «Последнее ... в Париже».|танго
Фильм Г. Данелия с участием Л. Куравлева и Е. Симоновой.|Афоня
Фильм Георгия Данелия с участием Л. Куравлева.|Афоня
Фильм кинорежиссёра А. Тарковского.|Сталкер
Фильм Р. Капура; альбом О. Газманова.|Бродяга
Фильм режиссёра В. Тодоровского с Е. Мироновым в главной роли.|Любовь
Фильм режиссёра С. Соловьва с участием Т. Друбич и С. Говорухина.|Асса
Фильм Роберта Олтмана, высмеивающий нравы Голливуда.|Игрок
Фильм с А. Абдуловым в главной роли.|Гений
Фильм с Ж. Рено.|Леон
Фильм с Ильиным в главной роли.|Менялы
Фильм с Орловой.|Цирк
Фильм с П. Ришаром.|Игрушка
Фильм с участием Н. Рыбникова.|Высота
Фильм с участием С. Сталлоне.|Рокки
Фильм У. Диснея.|Бемби
Фильм Э. Рязанова.|Гараж
Финалист Кубка Кубков, в матче с которым Блохин забил гол.|Атлетико
Финское мужское имя.|Арво
Фирма спортивной одежды.|Пума
Фирменный магазин в Москве; мужское имя; стихотворение И. Бунина.|Руслан
Фламандский живописец XVII века.|Рубенс
Форма рельефа.|карр
Форма рельефа.|коса
Форма рельефа.|ложбина
Форма рельефа.|лощина
Форма рельефа.|нагорье
Форма рельефа.|пересыпь
Форма рельефа.|пляж
Форма рельефа.|равнина
Форма рельефа.|суходол
Форма рельефа.|суша
Франкийский историк, автор сочинения «Четыре книги истории».|Нитард
Франкский вождь V века.|Хлодвиг
Франция, историческая провинция.|Акапулько
Франция, историческая провинция.|Анжу
Франция, историческая провинция.|Бретань
Франция, историческая провинция.|Бурбонне
Франция, историческая провинция.|Гасконь
Франция, историческая провинция.|Лангедок
Франция, историческая провинция.|Лимузен
Франция, историческая провинция.|Лионне
Франция, историческая провинция.|Мен
Франция, историческая провинция.|Онис
Франция, историческая провинция.|Орлеане
Франция, историческая провинция.|Пикардия
Франция, историческая провинция.|Прованс
Франция, историческая провинция.|Савойя
Франция, историческая провинция.|Сентонж
Франция, историческая провинция.|Фландрия
Франция, историческая провинция.|Фуа
Франция, историческая провинция.|Шампань
Франция, историческая провинция.|Эльзас
Французская актриса по имени Сара.|Бернар
Французская актриса, принцесса из Braveheart.|Софи Марсо
Французская киноактриса по имени Марина.|Влади
Французская киноактриса.|Бардо
Французская кинодива.|Денев
Французская колония в Северной Америке.|Реньо
Французская колония в Южной Америке.|Гвиана
Французская мера длины.|лье
Французская певица, которую часто сравнивают с Э. Пиаф.|Матье
Французская певица.|Пиаф
Французская писательница.|Санд
Французская провинция, подарившая миру д'Артаньяна.|Гасконь
Французская старинная монета.|крона
Французская фирма электро-бытовых товаров.|Мулинекс
Французская эстрадная исполнительница, неоднократно гастролировавшая в нашей стране.|Каас
Французская эстрадная певица.|Матье
Французский изобретатель, металлург.|Мартен
Французский математик.|Лагранж
Французский математик.|Паскаль
Французский модельер.|Диор
Французский писатель («Лифт на эшафот»).|Калеф
Французский писатель («Монахиня»).|Дидро
Французский писатель («Осень в Пекине»).|Виан
Французский писатель (1630-1721, «Трактата о возникновении романов»).|Юэ
Французский писатель (1804-57, «Парижские тайны», «Вечный жид»).|Сю
Французский писатель (сборник рассказов «Место казни»).|Познер
Французский писатель 16 века, автор романа «Гаргантюа и Пантагрюэль».|Рабле
Французский писатель 18 века, автор романа «Опасные связи» (1782).|Лакло
Французский писатель 19 века, писавший на новопровансальском языке.|Гра
Французский писатель автор романа «Набоб».|Доде
Французский писатель и критик, один из основателей «Парнаса», автор романа «Капитан Фракасс».|Готье
Французский писатель прошлого века, автор романа «Сверхмужчина».|Жарри
Французский писатель, «Дельфина».|Сталь
Французский писатель, «Набоб».|Доде
Французский писатель, автор «Наполеон», «Чума».|Камю
Французский писатель, автор повести «Рыжик».|Ренар
Французский писатель, автор романа «Анри Матисс».|Арагон
Французский писатель, автор романа «Везувий».|Роблес
Французский писатель, автор романа «Ученик».|Бурже
Французский писатель, автор романа-эпопеи «Жан Кристоф».|Роллан
Французский писатель, автор серии исторических романов «Проклятые короли».|Дрюон
Французский писатель, архиепископ. В филосовско-утопическом романе «Приключения Телемака» (1699) - идея просвещенной монархии. Дидактичечкие трактаты (1651-1715). Франсуа ...?|Фенелон
Французский писатель, большой знаток «парижских тайн».|Сю
Французский писатель, детектив «Прощай, полицейский».|Валле
Французский писатель, детективы, «Удар в сердце».|Вексен
Французский писатель, пьеса «Электра».|Жироду
Французский писатель, роман «Жан Сбогар».|Нодье
Французский политический деятель, маркиз, в начале Великой французской революции командовавший Национальной гвардией.|Лафайет
Французский постимпрессионист, удачно совместивший полезное творчество с приятным бытом на тропических островах.|Гоген
Французский поэт (1842-1905, «Трофеи»).|Эредиа
Французский поэт, «Элоа».|Виньи
Французский поэт, автор «Марсельезы».|Лиль
Французский поэт, автор поэмы «Мистерия о Жанне д'Арк».|Пеги
Французский поэт, автор поэмы «Победа Герники».|Элюар
Французский поэт, один из крупнейших сатириков начала 17 века, творчество которого оказало значительное влияние на Мольера.|Ренье
Французский поэт, создатель «Интернационала».|Потье
Французский поэт-песенник, участник Парижской коммуны.|Клеман
Французский учёный, ещё до Ч. Дарвина классифицировавший животный мир.|Кювье
Французский философ, математик, физик и физиолог.|Декарт
Французский философ, писатель, просветитель XVIII века.|Дидро
Французский футболист и тренер.|Платини
Французский футбольный клуб.|Лимож
Французский футбольный клуб.|Монако
Французский футбольный клуб.|Нант
Французский футбольный клуб.|Осер
Французский хореограф XVIII века, отказавшийся от традиционных масок, закрывавших лицо актёров.|Невер
Французское мужское имя.|Жюльен
Футболист Каладзе играет в киевской команде ...?|Динамо
Футболист, ставший почти национальным героем Франции после чемпионата мира 1998 года.|Зидан
Футбольная команда высшей лиги.|Ротор
Футбольное амплуа Хулио Иглесиаса.|голкипер
Футбольное амплуа.|вратарь
Футбольные ботинки.|бутсы
Футбольный бомбардир по-простецки.|забойщик
Футбольный защитник.|бек
Футбольный клуб в Ярославле.|Шинник
Футбольный клуб высшего дивизиона России.|Ротор
Футбольный клуб Германии.|Бавария
Футбольный клуб из Владикавказа.|Алания
Футбольный клуб Италии.|Ювентус
Футбольный клуб России.|Зенит
Футбольный комментатор НТВ.|Уткин
Химический радиоактивный элемент, серовато-белый, блестящий, относительно мягкий металл.|торий
Химический элемент.|аргон
Химический элемент.|астат
Химический элемент.|бор
Химический элемент.|галлий
Химический элемент.|германий
Химический элемент.|золото
Химический элемент.|иттербий
Химический элемент.|кадмий
Химический элемент.|кремний
Химический элемент.|криптон
Химический элемент.|кюрий
Химический элемент.|литий
Химический элемент.|лютеций
Химический элемент.|магний
Химический элемент.|натрий
Химический элемент.|неодим
Химический элемент.|нептуний
Химический элемент.|палладий
Химический элемент.|прометий
Химический элемент.|радий
Химический элемент.|родий
Химический элемент.|рубидий
Химический элемент.|свинец
Химический элемент.|сурьма
Химический элемент.|таллий
Химический элемент.|телий
Химический элемент.|теллур
Химический элемент.|тербий
Химический элемент.|титан
Химический элемент.|торий
Химический элемент.|тулий
Химический элемент.|углерод
Химический элемент.|уран
Химический элемент.|фермий
Химический элемент.|фосфор
Химический элемент.|франций
Химический элемент.|фтор
Химический элемент.|цезий
Химический элемент.|церий
Химический элемент.|цирконий
Химический элемент.|эрбий
Химическое вещество, бесцветный ядовитый газ.|циан
Химическое вещество, входящее в состав пальмового масла и других жиров, употребляемое в мыловаренном и свечном деле.|пальмитин
Химическое вещество, входящее в состав ракетного топлива.|гидразин
Химическое вещество, газ.|аммиак
Химическое вещество, оксид алюминия.|глинозем
Химическое вещество, углевод.|глюкоза
Химическое вещество, углевод.|фруктоза
Химическое вещество, углеводород.|бензол
Химическое вещество, углеводород.|метан
Химическое вещество, углеводород.|октан
Химическое вещество, углеводород.|стирол
Химическое вещество, углерод.|этан
Химическое вещество, ядовитый газ.|фосген
Химическое взрывчатое вещество.|нитроглицерин
Химическое дубильное вещество.|таннин
Химическое отравляющее вещество, газ.|иприт
Химическое соединение, прибавляемое к моторному топливу.|антидетонатор
Хищная лососевая речная рыба.|ленок
Хищная ночная птица.|сова
Хищная ночная птица.|филин
Хищная пресноводная промысловая рыба семейства карповых.|жерех
Хищная пресноводная рыба отряда лососеобразных.|щука
Хищная пресноводная рыба семейства тресковых.|налим
Хищная пресноводная рыба.|сом
Хищная птица семейства соколиных, используется как ловчая птица.|балобан
Хищная птица семейства соколиных.|канюк
Хищная птица семейства соколиных.|кречет
Хищная птица семейства соколиных.|сапсан
Хищная птица семейства соколиных.|скопа
Хищная птица, обитающая по берегам морей, крупных рек и озер.|орлан
Хищная птица, обитающая у водоемов.|скопа
Хищная птица.|гриф
Хищная птица.|кобчик
Хищная птица.|лаггар
Хищная птица.|орел
Хищная птица.|сапсан
Хищная птица.|сокол
Хищная речная рыба.|щука
Хищная рыба семейства лососевых с удлиненным телом и зубами в виде подковки, преимущественно обитающая в реках Сибири и Дальнего Востока.|таймень
Хищная рыба Южной Америки.|пиранья
Хищная рыба, обитающая в пресных водоемах Южной Америки.|пиранья
Хищная рыба.|пиранья
Хищная рыба.|щука
Хищник рода енотовых.|панда
Хищник семейства виверровых.|мангуст
Хищник семейства виверровых.|мунго
Хищник семейства виверровых.|мусанг
Хищник семейства виверровых.|фосса
Хищник семейства виверровых.|цивета
Хищник семейства волчьих.|лисица
Хищник семейства волчьих.|песец
Хищник семейства волчьих.|собака
Хищник семейства волчьих.|фенек
Хищник семейства кошачьих, распространенный в пустынях Африки и Азии.|каракал
Хищник семейства кошачьих.|барс
Хищник семейства кошачьих.|ирбис
Хищник семейства кошачьих.|кошка
Хищник семейства кошачьих.|леопард
Хищник семейства кошачьих.|оцелот
Хищник семейства кошачьих.|сервал
Хищник семейства кошачьих.|хаус
Хищник семейства куньих.|гризон
Хищник семейства куньих.|илька
Хищник семейства куньих.|калан
Хищник семейства куньих.|кидас
Хищник семейства куньих.|куница
Хищник семейства куньих.|ласка
Хищник семейства куньих.|медоед
Хищник семейства куньих.|соболь
Хищник семейства псовых.|шакал
Хищник, питающийся падалью.|гиена
Хищное дикое животное.|волк
Хищное животное из семейства кошек.|пума
Хищное животное рода енотов.|полоскун
Хищное животное семейства кошачьих.|барс
Хищное животное семейства кошачьих.|волк
Хищное животное семейства кошачьих.|ягуар
Хищное животное, обитающее в Юго-Восточной Азии, железы которого вырабатывают пахучее вещество, использующееся в парфюмерии.|виверра
Хищное млекопитающее семейства кошачьих с длинным густым и пушистым мехом, обитающее в Закавказье и в степях Средней и Центральной Азии.|манул
Хищное млекопитающее семейства кошачьих.|гепард
Хищное млекопитающее семейства кошачьих.|тигр
Хищное млекопитающее семейства куньих.|горностай
Хищное млекопитающее.|волк
Хищное млекопитающее.|кошка
Хищное млекопитающее.|лисица
Хищное млекопитающее.|пантера
Хищное млекопитающее; советский космонавт; созвездие.|волк
Хищное млекопитающее; стихотворение С. Есенина; рыба семейства акул.|лисица
Хищное насекомое, полезное, ибо уничтожает вреднителей.|богомол
Хищное насекомое.|оса
Хищное плавающее животное семейства куньих.|выдра
Хищный зверек с темно-желтым ценным мехом.|енот
Хищный зверек с ценным мехом.|соболь
Хищный зверек с ценным мехом.|хорь
Хищный зверь семейства куньих с ценным мехом.|росомаха
Хищный зверь семейства куньих.|барсук
Хищный пушной зверек из рода хорьков с коричневой блестящей шерстью.|норка
Хищный пушной зверек с темно-желтым густым мехом.|енот
Хищный пушной зверек семейства куньих.|норка
Хищный пушной зверек.|ласка
Хлопчатобумажная или шелковая ткань для подкладки.|саржа
Хлопчатобумажная или шелковая ткань с диагональным переплетением нитей, идущая обычно на подкладку.|саржа
Хлопчатобумажная или шелковая ткань.|репс
Хлопчатобумажная или шерстяная ткань с отчетливо выраженными наклонными рубчиками.|диагональ
Хлопчатобумажная ткань с гладкой блестящей поверхностью.|сатин
Хлопчатобумажная ткань с гладкой лицевой поверхностью.|сатин
Хлопчатобумажная ткань с набивным узором.|киндяк
Холодное оружие в виде ножа.|финка
Холодное оружие.|кинжал
Холодное оружие.|клинок
Холодное оружие.|кортик
Холодное оружие.|нож
Холодное оружие.|пернач
Холодное оружие.|рапира
Холодное оружие.|сабля
Холодное оружие.|стилет
Холодное оружие.|тесак
Холодное оружие.|финка
Холодное оружие.|шашка
Холодное оружие.|шпага
Холодное оружие.|штык
Холодное оружие; стихотворение М. Лермонтова.|кинжал
Храм на севере Индии.|Сатпура
Христианский город в Сирии.|Мхарди
Христианский монастырь севернее Дамаска.|Седная
Христианский праздник.|Покров
Христианский праздник.|Сретение
Художник (переписывал «Старый пруд» более 5000 раз).|Бикслер
Царь Армении, несколько раз разбитый римским полководцем Лукуллом.|Тигран
Царь Израиля, библейский персонаж.|Давид
Царь Итаки в древнегреческой мифологии.|Одиссей
Царь Микен.|Агамемнон
Царь страны нишадхов в древнеиндийском эпосе (Наль).|Нала
Цветок, лекарственное растение.|ландыш
Цветок.|гиацинт
Цветок.|лотос
Цветок.|орхидея
Цветок.|роза
Цветок.|фиалка
Ценная бумага.|акция
Ценная бумага.|ассигнация
Ценная бумага.|бона
Ценная лососевая рыба.|семга
Ценная промысловая рыба из семейства лососевых.|осетр
Ценная промысловая рыба семейства лососевых.|чавыча
Ценная промысловая рыба семейства осетровых.|севрюга
Ценная промысловая рыба.|лосось
Центр древнерусского княжества.|Белев
Центр древнерусского княжества.|Белозеро
Центр древнерусского княжества.|Боровск
Центр древнерусского княжества.|Брянск
Центр древнерусского княжества.|Витебск
Центр древнерусского княжества.|Владимир
Центр древнерусского княжества.|Вологда
Центр древнерусского княжества.|Вязьма
Центр древнерусского княжества.|Галич
Центр древнерусского княжества.|Глухов
Центр древнерусского княжества.|Городень
Центр древнерусского княжества.|Гродно
Центр древнерусского княжества.|Дмитров
Центр древнерусского княжества.|Друцк
Центр древнерусского княжества.|Елец
Центр древнерусского княжества.|Заславль
Центр древнерусского княжества.|Калуга
Центр древнерусского княжества.|Касимов
Центр древнерусского княжества.|Кашин
Центр древнерусского княжества.|Киев
Центр древнерусского княжества.|Козельск
Центр древнерусского княжества.|Луцк
Центр древнерусского княжества.|Мезецк
Центр древнерусского княжества.|Минск
Центр древнерусского княжества.|Москва
Центр древнерусского княжества.|Муром
Центр древнерусского княжества.|Несвиж
Центр древнерусского княжества.|Новгород
Центр древнерусского княжества.|Одоев
Центр древнерусского княжества.|Пинск
Центр древнерусского княжества.|Полоцк
Центр древнерусского княжества.|Псков
Центр древнерусского княжества.|Путивль
Центр древнерусского княжества.|Ржев
Центр древнерусского княжества.|Рославль
Центр древнерусского княжества.|Ростов
Центр древнерусского княжества.|Рыльск
Центр древнерусского княжества.|Рязань
Центр древнерусского княжества.|Слуцк
Центр древнерусского княжества.|Смоленск
Центр древнерусского княжества.|Старица
Центр древнерусского княжества.|Стародуб
Центр древнерусского княжества.|Таруса
Центр древнерусского княжества.|Тверь
Центр древнерусского княжества.|Торопец
Центр древнерусского княжества.|Туров
Центр древнерусского княжества.|Углич
Центральное госучреждение на Руси.|казна
Центральное госучреждение на Руси.|четь
Часть упряжи.|вожжи
Часть упряжи.|гуж
Часть упряжи.|гужи
Часть упряжи.|седелка
Часть упряжи.|супонь
Часть упряжи.|удила
Часть упряжи.|уздечка
Часть упряжи.|шлея
Чемпион Италии 2001.|Рома
Чемпион России '95.|Алания
Черта характера человека.|аристократизм
Черта характера человека.|властность
Черта характера человека.|властолюбие
Черта характера человека.|скупость
Черта характера, состояние человека, животного.|злоба
Черта характера, состояние человека.|гордость
Черта характера, состояние человека.|жадность
Черта характера, состояние человека.|зрелость
Черта характера, состояние человека.|кротость
Черта характера, состояние человека.|щедрость
Черта характера.|авантюризм
Черта характера.|мудрость
Черта характера.|оптимизм
Черта характера.|смирение
Черта характера.|эгоизм
Чешский автомобиль.|Авиа
Чешский аналог нафтизина и галазолина - хорош при насморке.|санорин
Чешский народный герой, реформатор.|Гус
Чешский писатель-сатирик (1883-1923).|Гашек
Чешский поэт-символист с «птичьей» фамилией.|Сова
Чешский президент, подвергавшийся тюремному заключению за диссидентство.|Гавел
Чешское женское имя.|Квета
Чилийский поэт и общественный деятель (Нобелевская премия 1971 года).|Неруда
Чилийский поэт, лауреат Международной Ленинской премии.|Неруда
Чилийский поэт, лауреат Нобелевской премии по литературе по имени Пабло.|Неруда
Чудовище в древнегреческой мифологии.|Сцилла
Чудовище в европейской мифологии.|дракон
Шанель (имя).|Коко
Шахматист, экс-чемпион мира.|Карпов
Шахматист, экс-чемпион мира.|Ласкер
Шахматист, экс-чемпион мира.|Смыслов
Шахматист, экс-чемпион мира.|Таль
Шахматист, экс-чемпион мира.|Фишер
Шахматный термин.|гарде
Шахматный термин.|мат
Шахматный термин.|фигура
Шведский автомобиль.|Вольво
Швейцарская пищевая монополия.|Нестле
Ширяш, растение семейства асфоделовых, трава, декоративная, медонос.|эремурус
Шотландский король.|Макбет
Шотландский футбольный клуб.|Селтик
Шпергель, травянистое растение.|торица
Штат в Индии; комп. группы «Led Zeppelin».|Кашмир
Штат в США, административный центр - Атланта.|Джорджия
Штат в США, административный центр - Бойсе.|Айдахо
Штат в США, административный центр - Литл-Рок.|Арканзас
Штат в США, административный центр - Финикс.|Аризона
Штат в США, административным центром которого является город Остин.|Техас
Штат в США, в котором построили самый высокий в мире фонтан (160 м).|Аризона
Штат в США, где регулярно линчевали негров.|Алабама
